"run","tick","Harmony","EquilibriumTime"
5,36.0,0.2856544545559654,-1.0
5,37.0,0.2881137188806927,-1.0
5,38.0,0.2900458080386289,-1.0
5,39.0,0.2915628713930499,-1.0
5,40.0,0.29275425854255244,-1.0
5,41.0,0.2936905905899906,-1.0
5,42.0,0.2944273783960299,-1.0
5,43.0,0.2950080930806498,-1.0
5,44.0,0.29546669573185635,-1.0
5,45.0,0.29582968081295397,-1.0
5,46.0,0.2961177046369575,-1.0
5,47.0,0.2963468711256076,47.0
5,48.0,0.29652974044815844,48.0
5,49.0,0.2966761167638397,49.0
5,50.0,0.2967936616044152,50.0
5,51.0,0.29688837055987616,51.0
5,52.0,0.2969649432958593,52.0
5,53.0,0.2970270706012294,53.0
5,54.0,0.29707765703719174,54.0
5,55.0,0.2971189936705584,55.0
5,56.0,0.29715289214728097,56.0
5,57.0,0.29718078883465626,57.0
5,58.0,0.2972038257903215,58.0
5,59.0,0.2972229137857206,59.0
5,60.0,0.29723878142579624,60.0
5,61.0,0.29725201348919095,61.0
5,62.0,0.2972630809041912,62.0
5,63.0,0.2972723642280367,63.0
5,64.0,0.29728017207440105,64.0
5,65.0,0.2972867556074305,65.0
5,66.0,0.2972923199686892,66.0
5,67.0,0.2972970333087011,67.0
5,68.0,0.2973010339443793,68.0
5,69.0,0.29730443604736184,69.0
5,70.0,0.29730733417833705,70.0
5,71.0,0.29730980691281156,71.0
5,72.0,0.2973119197498345,72.0
5,73.0,0.2973137274533517,73.0
5,74.0,0.2973152759433827,74.0
5,75.0,0.297316603828966,75.0
5,76.0,0.29731774365516755,76.0
5,77.0,0.29731872292112405,77.0
5,78.0,0.29731956491413714,78.0
5,79.0,0.2973202893954776,79.0
5,80.0,0.2973209131662283,80.0
5,81.0,0.2973214505357385,81.0
5,82.0,0.2973219137107312,82.0
5,83.0,0.29732231311953145,83.0
5,84.0,0.2973226576830553,84.0
5,85.0,0.2973229550419585,85.0
5,86.0,0.29732321174755827,86.0
5,87.0,0.29732343342272016,87.0
5,88.0,0.29732362489776193,88.0
5,89.0,0.2973237903255118,89.0
5,90.0,0.2973239332789221,90.0
5,91.0,0.2973240568340413,91.0
5,92.0,0.29732416364066677,92.0
5,93.0,0.2973242559826055,93.0
5,94.0,0.29732433582914475,94.0
5,95.0,0.29732440487907774,95.0
5,96.0,0.29732446459840467,96.0
5,97.0,0.2973245162526548,97.0
5,98.0,0.2973245609346254,98.0
5,99.0,0.2973245995882078,99.0
5,100.0,0.2973246330288693,100.0
2,1.0,1.0970407642184495E-5,-1.0
2,2.0,1.1461120533998758E-5,-1.0
2,3.0,1.1960278792669332E-5,-1.0
2,4.0,1.2470672483923742E-5,-1.0
2,5.0,1.2994637846944062E-5,-1.0
2,6.0,1.3534166669735047E-5,-1.0
2,7.0,1.4090991051513637E-5,-1.0
2,8.0,1.4666649144926274E-5,-1.0
2,9.0,1.5262536200752907E-5,-1.0
2,10.0,1.5879944256244957E-5,-1.0
2,11.0,1.6520093049720904E-5,-1.0
2,12.0,1.718415415780779E-5,-1.0
2,13.0,1.787326989860951E-5,-1.0
2,14.0,1.8588568193851E-5,-1.0
2,15.0,1.9331174312320195E-5,-1.0
2,16.0,2.0102220207647484E-5,-1.0
2,17.0,2.090285200167166E-5,-1.0
2,18.0,2.1734236039557666E-5,-1.0
2,19.0,2.259756384612129E-5,-1.0
2,20.0,2.3494056238037816E-5,-1.0
2,21.0,2.442496678878659E-5,-1.0
2,22.0,2.5391584798463874E-5,-1.0
2,23.0,2.6395237886006934E-5,-1.0
2,24.0,2.7437294294613742E-5,-1.0
2,25.0,2.8519164980437504E-5,-1.0
2,26.0,2.9642305538608596E-5,-1.0
2,27.0,3.0808218008226896E-5,-1.0
2,28.0,3.201845258835238E-5,-1.0
2,29.0,3.327460928956739E-5,-1.0
2,30.0,3.457833953989769E-5,-1.0
2,31.0,3.5931347759383544E-5,-1.0
